,Tailored_Financial_Advice,Privacy_Violation_Activity,Economic_Harm,Child_Abuse,Illegal_Activity,Physical_Harm,Adult_Content,Political_Campaigning,Malware_Viruses,Fraud_Deception,harmless,Hate_Harass_Violence
Tailored_Financial_Advice,1.0000077486038208,0.9962986707687378,0.9988154172897339,0.998727023601532,0.9995267391204834,0.9984742403030396,0.9987295866012573,0.998793363571167,0.9986883401870728,0.9975646734237671,0.9973204731941223,0.9997362494468689
Privacy_Violation_Activity,0.9962986707687378,1.0000131130218506,0.9992307424545288,0.9992291331291199,0.9982876181602478,0.9991909265518188,0.9991790056228638,0.9992184638977051,0.9992297887802124,0.9997320175170898,0.9994804263114929,0.9964450597763062
Economic_Harm,0.9988154172897339,0.9992307424545288,1.0000097751617432,0.9998914003372192,0.9997111558914185,0.9998388290405273,0.9999005198478699,0.9999229311943054,0.9998534917831421,0.9996109008789062,0.9994644522666931,0.998847246170044
Child_Abuse,0.998727023601532,0.9992291331291199,0.9998914003372192,1.0000083446502686,0.9997193813323975,0.9997305870056152,0.9999096989631653,0.9998984336853027,0.9998265504837036,0.9996480941772461,0.9993722438812256,0.9987924098968506
Illegal_Activity,0.9995267391204834,0.9982876181602478,0.9997111558914185,0.9997193813323975,1.0000091791152954,0.9995259642601013,0.9996880888938904,0.9997216463088989,0.9996815919876099,0.9990565776824951,0.9987598657608032,0.9995198249816895
Physical_Harm,0.9984742403030396,0.9991909265518188,0.9998388290405273,0.9997305870056152,0.9995259642601013,1.000006914138794,0.9997689723968506,0.999744713306427,0.9996802806854248,0.9993606805801392,0.9994752407073975,0.9987617135047913
Adult_Content,0.9987295866012573,0.9991790056228638,0.9999005198478699,0.9999096989631653,0.9996880888938904,0.9997689723968506,1.0000090599060059,0.9998935461044312,0.9998136758804321,0.9995774030685425,0.9993720054626465,0.9988697171211243
Political_Campaigning,0.998793363571167,0.9992184638977051,0.9999229311943054,0.9998984336853027,0.9997216463088989,0.999744713306427,0.9998935461044312,1.0000096559524536,0.9998568296432495,0.9996628165245056,0.9993911385536194,0.9988703727722168
Malware_Viruses,0.9986883401870728,0.9992297887802124,0.9998534917831421,0.9998265504837036,0.9996815919876099,0.9996802806854248,0.9998136758804321,0.9998568296432495,1.0000073909759521,0.9996022582054138,0.9992518424987793,0.9987225532531738
Fraud_Deception,0.9975646734237671,0.9997320175170898,0.9996109008789062,0.9996480941772461,0.9990565776824951,0.9993606805801392,0.9995774030685425,0.9996628165245056,0.9996022582054138,1.0000113248825073,0.9994639754295349,0.9975399971008301
harmless,0.9973204731941223,0.9994804263114929,0.9994644522666931,0.9993722438812256,0.9987598657608032,0.9994752407073975,0.9993720054626465,0.9993911385536194,0.9992518424987793,0.9994639754295349,1.0000147819519043,0.9973896145820618
Hate_Harass_Violence,0.9997362494468689,0.9964450597763062,0.998847246170044,0.9987924098968506,0.9995198249816895,0.9987617135047913,0.9988697171211243,0.9988703727722168,0.9987225532531738,0.9975399971008301,0.9973896145820618,1.0000066757202148
