,Child_Abuse,Privacy_Violation_Activity,Malware_Viruses,Political_Campaigning,Economic_Harm,Illegal_Activity,Adult_Content,Hate_Harass_Violence,harmless,Physical_Harm,Tailored_Financial_Advice,Fraud_Deception
Child_Abuse,1.000001072883606,0.9618073105812073,0.9514790773391724,0.9601503014564514,0.9619693756103516,0.9739190340042114,0.9710780382156372,0.9551835060119629,0.8931884765625,0.9622417092323303,0.9541824460029602,0.9616783857345581
Privacy_Violation_Activity,0.9618073105812073,1.0000019073486328,0.9800707101821899,0.9622101783752441,0.9678573608398438,0.9791327714920044,0.9571431875228882,0.9495143890380859,0.8988960385322571,0.9680802822113037,0.9560085535049438,0.9765363931655884
Malware_Viruses,0.9514790773391724,0.9800707101821899,1.0000003576278687,0.9538030624389648,0.9640033841133118,0.9741933941841125,0.9414932131767273,0.9364778995513916,0.8876339197158813,0.9595683813095093,0.9482411742210388,0.9710794687271118
Political_Campaigning,0.9601503014564514,0.9622101783752441,0.9538030624389648,1.0000007152557373,0.9676157236099243,0.9702258706092834,0.9537150859832764,0.9668577909469604,0.9004055261611938,0.9643471837043762,0.9605662822723389,0.9680271744728088
Economic_Harm,0.9619693756103516,0.9678573608398438,0.9640033841133118,0.9676157236099243,1.0000009536743164,0.9799196720123291,0.958728015422821,0.9532191753387451,0.9134882092475891,0.9688292145729065,0.9789792895317078,0.9863207340240479
Illegal_Activity,0.9739190340042114,0.9791327714920044,0.9741933941841125,0.9702258706092834,0.9799196720123291,1.0000022649765015,0.9632957577705383,0.9578952789306641,0.9012032747268677,0.9764576554298401,0.9694327116012573,0.98260498046875
Adult_Content,0.9710780382156372,0.9571431875228882,0.9414932131767273,0.9537150859832764,0.958728015422821,0.9632957577705383,1.0000009536743164,0.9640374183654785,0.8887528777122498,0.9656097888946533,0.9423110485076904,0.9554855823516846
Hate_Harass_Violence,0.9551835060119629,0.9495143890380859,0.9364778995513916,0.9668577909469604,0.9532191753387451,0.9578952789306641,0.9640374183654785,1.0000019073486328,0.8885104656219482,0.9680954813957214,0.940119206905365,0.9516118168830872
harmless,0.8931884765625,0.8988960385322571,0.8876339197158813,0.9004055261611938,0.9134882092475891,0.9012032747268677,0.8887528777122498,0.8885104656219482,1.0000005960464478,0.8996156454086304,0.9063721299171448,0.9066565036773682
Physical_Harm,0.9622417092323303,0.9680802822113037,0.9595683813095093,0.9643471837043762,0.9688292145729065,0.9764576554298401,0.9656097888946533,0.9680954813957214,0.8996156454086304,1.0000011920928955,0.9552534222602844,0.9657407999038696
Tailored_Financial_Advice,0.9541824460029602,0.9560085535049438,0.9482411742210388,0.9605662822723389,0.9789792895317078,0.9694327116012573,0.9423110485076904,0.940119206905365,0.9063721299171448,0.9552534222602844,1.0000019073486328,0.9685829877853394
Fraud_Deception,0.9616783857345581,0.9765363931655884,0.9710794687271118,0.9680271744728088,0.9863207340240479,0.98260498046875,0.9554855823516846,0.9516118168830872,0.9066565036773682,0.9657407999038696,0.9685829877853394,1.0000009536743164
