,harmless,Physical_Harm,Adult_Content,Tailored_Financial_Advice,Malware_Viruses,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Child_Abuse,Hate_Harass_Violence,Fraud_Deception,Political_Campaigning
harmless,1.0000686645507812,0.9983030557632446,0.9995419979095459,0.9994515180587769,0.9991554021835327,0.9992872476577759,0.9995245337486267,0.9994696378707886,0.9994403719902039,0.9994904398918152,0.9989379644393921,0.9993918538093567
Physical_Harm,0.9983030557632446,1.0000604391098022,0.998137354850769,0.9989050626754761,0.9966774582862854,0.9971364736557007,0.9984953999519348,0.9985024333000183,0.9977195858955383,0.9992480278015137,0.9964613914489746,0.9977089762687683
Adult_Content,0.9995419979095459,0.998137354850769,1.000064730644226,0.9997817873954773,0.9997085928916931,0.9998969435691833,0.9999626278877258,0.9999873638153076,0.9999950528144836,0.9997755289077759,0.9997498989105225,1.0000075101852417
Tailored_Financial_Advice,0.9994515180587769,0.9989050626754761,0.9997817873954773,1.0000680685043335,0.9993640780448914,0.9995272159576416,0.9998731017112732,0.9999572038650513,0.9996587634086609,0.9997949004173279,0.9992691278457642,0.9997279047966003
Malware_Viruses,0.9991554021835327,0.9966774582862854,0.9997085928916931,0.9993640780448914,1.0000641345977783,0.999981701374054,0.9995768666267395,0.9996042847633362,0.9998301267623901,0.998911440372467,0.9999494552612305,0.9998369216918945
Privacy_Violation_Activity,0.9992872476577759,0.9971364736557007,0.9998969435691833,0.9995272159576416,0.999981701374054,1.0000693798065186,0.9997410774230957,0.9997866153717041,0.999980092048645,0.9992570281028748,0.9999828338623047,0.9999905228614807
Illegal_Activity,0.9995245337486267,0.9984953999519348,0.9999626278877258,0.9998731017112732,0.9995768666267395,0.9997410774230957,1.0000710487365723,0.9999977946281433,0.9999473690986633,0.9998290538787842,0.9995577335357666,0.9998950362205505
Economic_Harm,0.9994696378707886,0.9985024333000183,0.9999873638153076,0.9999572038650513,0.9996042847633362,0.9997866153717041,0.9999977946281433,1.000070571899414,0.9999088644981384,0.9998354315757751,0.9996240139007568,0.9999546408653259
Child_Abuse,0.9994403719902039,0.9977195858955383,0.9999950528144836,0.9996587634086609,0.9998301267623901,0.999980092048645,0.9999473690986633,0.9999088644981384,1.0000635385513306,0.999578058719635,0.9998575448989868,1.0000077486038208
Hate_Harass_Violence,0.9994904398918152,0.9992480278015137,0.9997755289077759,0.9997949004173279,0.998911440372467,0.9992570281028748,0.9998290538787842,0.9998354315757751,0.999578058719635,1.0000642538070679,0.9989285469055176,0.9995800852775574
Fraud_Deception,0.9989379644393921,0.9964613914489746,0.9997498989105225,0.9992691278457642,0.9999494552612305,0.9999828338623047,0.9995577335357666,0.9996240139007568,0.9998575448989868,0.9989285469055176,1.000071406364441,0.9999191761016846
Political_Campaigning,0.9993918538093567,0.9977089762687683,1.0000075101852417,0.9997279047966003,0.9998369216918945,0.9999905228614807,0.9998950362205505,0.9999546408653259,1.0000077486038208,0.9995800852775574,0.9999191761016846,1.0000654458999634
