,Child_Abuse,Privacy_Violation_Activity,Malware_Viruses,Political_Campaigning,Economic_Harm,Illegal_Activity,Adult_Content,Hate_Harass_Violence,harmless,Physical_Harm,Tailored_Financial_Advice,Fraud_Deception
Child_Abuse,1.0000001192092896,0.7472031116485596,0.675694465637207,0.744433581829071,0.7448917627334595,0.8185610771179199,0.8221590518951416,0.7415057420730591,-0.1419104039669037,0.7626811265945435,0.6851252913475037,0.7623940706253052
Privacy_Violation_Activity,0.7472031116485596,1.000000238418579,0.8807609677314758,0.7475712299346924,0.7852388024330139,0.8567160964012146,0.7119278907775879,0.6620526313781738,-0.1461254209280014,0.7924251556396484,0.6914997100830078,0.852074146270752
Malware_Viruses,0.675694465637207,0.8807609677314758,0.9999998807907104,0.6888894438743591,0.7675666213035583,0.8267434239387512,0.6284496784210205,0.5972212553024292,-0.09135252237319946,0.7569438219070435,0.6484524607658386,0.82073575258255
Political_Campaigning,0.744433581829071,0.7475712299346924,0.6888894438743591,1.000000238418579,0.7775382995605469,0.7977824211120605,0.7043182849884033,0.7857187986373901,-0.12723252177238464,0.7629554271697998,0.7336476445198059,0.7955084443092346
Economic_Harm,0.7448917627334595,0.7852388024330139,0.7675666213035583,0.7775382995605469,1.0000001192092896,0.8582039475440979,0.7364367246627808,0.6839306354522705,-0.1493070423603058,0.7961220741271973,0.846411943435669,0.9072524905204773
Illegal_Activity,0.8185610771179199,0.8567160964012146,0.8267434239387512,0.7977824211120605,0.8582039475440979,1.0000001192092896,0.7551778554916382,0.722152054309845,-0.11154584586620331,0.8404693603515625,0.7777509689331055,0.8932727575302124
Adult_Content,0.8221590518951416,0.7119278907775879,0.6284496784210205,0.7043182849884033,0.7364367246627808,0.7551778554916382,1.0000001192092896,0.7989608645439148,-0.07396531105041504,0.7787941098213196,0.6254193186759949,0.7253672480583191
Hate_Harass_Violence,0.7415057420730591,0.6620526313781738,0.5972212553024292,0.7857187986373901,0.6839306354522705,0.722152054309845,0.7989608645439148,1.0000001192092896,-0.033829182386398315,0.7734464406967163,0.603618323802948,0.6897619366645813
harmless,-0.1419104039669037,-0.1461254209280014,-0.09135252237319946,-0.12723252177238464,-0.1493070423603058,-0.11154584586620331,-0.07396531105041504,-0.033829182386398315,0.9999999403953552,-0.1171361431479454,-0.130955308675766,-0.13973355293273926
Physical_Harm,0.7626811265945435,0.7924251556396484,0.7569438219070435,0.7629554271697998,0.7961220741271973,0.8404693603515625,0.7787941098213196,0.7734464406967163,-0.1171361431479454,1.0000003576278687,0.6884548664093018,0.7859479188919067
Tailored_Financial_Advice,0.6851252913475037,0.6914997100830078,0.6484524607658386,0.7336476445198059,0.846411943435669,0.7777509689331055,0.6254193186759949,0.603618323802948,-0.130955308675766,0.6884548664093018,1.000000238418579,0.7886860966682434
Fraud_Deception,0.7623940706253052,0.852074146270752,0.82073575258255,0.7955084443092346,0.9072524905204773,0.8932727575302124,0.7253672480583191,0.6897619366645813,-0.13973355293273926,0.7859479188919067,0.7886860966682434,1.000000238418579
