,Hate_Harass_Violence,Adult_Content,Child_Abuse,Tailored_Financial_Advice,Economic_Harm,Privacy_Violation_Activity,Illegal_Activity,Fraud_Deception,Political_Campaigning,Physical_Harm,Malware_Viruses,harmless
Hate_Harass_Violence,1.0000004768371582,0.9581381678581238,0.958651602268219,0.9421452283859253,0.9593257904052734,0.949451208114624,0.9573196768760681,0.9566274881362915,0.9739357829093933,0.9766896367073059,0.9375698566436768,0.7841882109642029
Adult_Content,0.9581381678581238,1.0000001192092896,0.9641157388687134,0.931526780128479,0.9509619474411011,0.9397410750389099,0.9606260657310486,0.9542193412780762,0.9467380046844482,0.9695724844932556,0.9197607636451721,0.7381523251533508
Child_Abuse,0.958651602268219,0.9641157388687134,0.9999997615814209,0.9446893334388733,0.9572224617004395,0.9428964853286743,0.9661171436309814,0.958619236946106,0.9538615345954895,0.9642911553382874,0.9272031188011169,0.76154625415802
Tailored_Financial_Advice,0.9421452283859253,0.931526780128479,0.9446893334388733,1.0000004768371582,0.9762457013130188,0.962147057056427,0.9609360694885254,0.9654104113578796,0.9686235189437866,0.9600536823272705,0.9444702863693237,0.7935439944267273
Economic_Harm,0.9593257904052734,0.9509619474411011,0.9572224617004395,0.9762457013130188,1.0000001192092896,0.9677512049674988,0.9786975979804993,0.9879148602485657,0.9818863868713379,0.9682905077934265,0.9547858238220215,0.774699330329895
Privacy_Violation_Activity,0.949451208114624,0.9397410750389099,0.9428964853286743,0.962147057056427,0.9677512049674988,0.9999997615814209,0.97439044713974,0.966447651386261,0.9733341932296753,0.9675548076629639,0.9791990518569946,0.8022491335868835
Illegal_Activity,0.9573196768760681,0.9606260657310486,0.9661171436309814,0.9609360694885254,0.9786975979804993,0.97439044713974,1.0000003576278687,0.9771748185157776,0.9737892150878906,0.9725626707077026,0.9584168195724487,0.7714845538139343
Fraud_Deception,0.9566274881362915,0.9542193412780762,0.958619236946106,0.9654104113578796,0.9879148602485657,0.966447651386261,0.9771748185157776,1.0000007152557373,0.9760063290596008,0.9657063484191895,0.9553019404411316,0.7577999830245972
Political_Campaigning,0.9739357829093933,0.9467380046844482,0.9538615345954895,0.9686235189437866,0.9818863868713379,0.9733341932296753,0.9737892150878906,0.9760063290596008,1.0000003576278687,0.9733777642250061,0.961389422416687,0.7974683046340942
Physical_Harm,0.9766896367073059,0.9695724844932556,0.9642911553382874,0.9600536823272705,0.9682905077934265,0.9675548076629639,0.9725626707077026,0.9657063484191895,0.9733777642250061,1.000000238418579,0.9529884457588196,0.7960178256034851
Malware_Viruses,0.9375698566436768,0.9197607636451721,0.9272031188011169,0.9444702863693237,0.9547858238220215,0.9791990518569946,0.9584168195724487,0.9553019404411316,0.961389422416687,0.9529884457588196,0.9999998807907104,0.8083701729774475
harmless,0.7841882109642029,0.7381523251533508,0.76154625415802,0.7935439944267273,0.774699330329895,0.8022491335868835,0.7714845538139343,0.7577999830245972,0.7974683046340942,0.7960178256034851,0.8083701729774475,0.9999998807907104
