,Economic_Harm,harmless,Tailored_Financial_Advice,Adult_Content,Fraud_Deception,Hate_Harass_Violence,Illegal_Activity,Physical_Harm,Privacy_Violation_Activity,Malware_Viruses,Child_Abuse,Political_Campaigning
Economic_Harm,1.0000007152557373,0.026487816125154495,0.9197686314582825,0.3447018265724182,0.19118380546569824,0.7177482843399048,0.3204371929168701,0.4084189236164093,0.16458234190940857,0.18960651755332947,0.2987581193447113,0.40197062492370605
harmless,0.026487816125154495,1.000010371208191,0.10436689853668213,-0.8498252034187317,-0.8958620429039001,0.6121960282325745,-0.8624942898750305,0.8305457234382629,-0.9029721021652222,-0.8924435377120972,-0.8671693801879883,-0.8282556533813477
Tailored_Financial_Advice,0.9197686314582825,0.10436689853668213,1.000000238418579,0.217989981174469,0.07898066192865372,0.7520954608917236,0.20959724485874176,0.5006083846092224,0.07064846158027649,0.08275410532951355,0.19625736773014069,0.29491299390792847
Adult_Content,0.3447018265724182,-0.8498252034187317,0.217989981174469,1.0000016689300537,0.9688929319381714,-0.32495665550231934,0.9817745685577393,-0.6786361932754517,0.9629430174827576,0.9683927297592163,0.9850878119468689,0.9788658618927002
Fraud_Deception,0.19118380546569824,-0.8958620429039001,0.07898066192865372,0.9688929319381714,1.000002145767212,-0.49486976861953735,0.9707121253013611,-0.8023950457572937,0.9926726818084717,0.9895511865615845,0.9744789600372314,0.9696279168128967
Hate_Harass_Violence,0.7177482843399048,0.6121960282325745,0.7520954608917236,-0.32495665550231934,-0.49486976861953735,1.000001311302185,-0.35445520281791687,0.9041621685028076,-0.5144841074943542,-0.49541139602661133,-0.36540836095809937,-0.2892051041126251
Illegal_Activity,0.3204371929168701,-0.8624942898750305,0.20959724485874176,0.9817745685577393,0.9707121253013611,-0.35445520281791687,1.0000040531158447,-0.6941118240356445,0.9688900113105774,0.973067045211792,0.9925612807273865,0.9743183851242065
Physical_Harm,0.4084189236164093,0.8305457234382629,0.5006083846092224,-0.6786361932754517,-0.8023950457572937,0.9041621685028076,-0.6941118240356445,1.0000005960464478,-0.8106616139411926,-0.7964318990707397,-0.7052910327911377,-0.6486663222312927
Privacy_Violation_Activity,0.16458234190940857,-0.9029721021652222,0.07064846158027649,0.9629430174827576,0.9926726818084717,-0.5144841074943542,0.9688900113105774,-0.8106616139411926,1.000004768371582,0.9954236745834351,0.9737269878387451,0.9645165205001831
Malware_Viruses,0.18960651755332947,-0.8924435377120972,0.08275410532951355,0.9683927297592163,0.9895511865615845,-0.49541139602661133,0.973067045211792,-0.7964318990707397,0.9954236745834351,1.000004768371582,0.9739546775817871,0.9645479917526245
Child_Abuse,0.2987581193447113,-0.8671693801879883,0.19625736773014069,0.9850878119468689,0.9744789600372314,-0.36540836095809937,0.9925612807273865,-0.7052910327911377,0.9737269878387451,0.9739546775817871,1.0000007152557373,0.9765129685401917
Political_Campaigning,0.40197062492370605,-0.8282556533813477,0.29491299390792847,0.9788658618927002,0.9696279168128967,-0.2892051041126251,0.9743183851242065,-0.6486663222312927,0.9645165205001831,0.9645479917526245,0.9765129685401917,1.0000020265579224
