,Political_Campaigning,Malware_Viruses,Child_Abuse,Illegal_Activity,Tailored_Financial_Advice,Adult_Content,harmless,Fraud_Deception,Privacy_Violation_Activity,Economic_Harm,Physical_Harm,Hate_Harass_Violence
Political_Campaigning,1.0000046491622925,0.9997966885566711,0.9998059868812561,0.9999351501464844,0.9998794794082642,0.9999653697013855,0.9998782873153687,0.9999753832817078,0.9998998641967773,0.9999870657920837,0.9998412728309631,0.9999279379844666
Malware_Viruses,0.9997966885566711,1.0000038146972656,0.9999002814292908,0.999908447265625,0.9994455575942993,0.9998277425765991,0.9996914267539978,0.9997144937515259,0.9999716877937317,0.999779999256134,0.9999118447303772,0.9998682141304016
Child_Abuse,0.9998059868812561,0.9999002814292908,1.0000040531158447,0.9999451637268066,0.9993953704833984,0.9998739361763,0.9996351003646851,0.9996722936630249,0.9999303817749023,0.9997935891151428,0.9999452233314514,0.9999385476112366
Illegal_Activity,0.9999351501464844,0.999908447265625,0.9999451637268066,1.0000032186508179,0.9996607303619385,0.9999691247940063,0.9998184442520142,0.9998704791069031,0.9999598264694214,0.9999438524246216,0.9999470710754395,0.9999863505363464
Tailored_Financial_Advice,0.9998794794082642,0.9994455575942993,0.9993953704833984,0.9996607303619385,1.0000032186508179,0.9997736215591431,0.9998160600662231,0.9999215602874756,0.9995971322059631,0.9998616576194763,0.9995256066322327,0.9996538758277893
Adult_Content,0.9999653697013855,0.9998277425765991,0.9998739361763,0.9999691247940063,0.9997736215591431,1.000003457069397,0.9998735785484314,0.9999208450317383,0.999906599521637,0.9999755024909973,0.9998803734779358,0.9999653100967407
harmless,0.9998782873153687,0.9996914267539978,0.9996351003646851,0.9998184442520142,0.9998160600662231,0.9998735785484314,1.0000040531158447,0.9998815059661865,0.9997750520706177,0.9998928904533386,0.9997206926345825,0.9998003840446472
Fraud_Deception,0.9999753832817078,0.9997144937515259,0.9996722936630249,0.9998704791069031,0.9999215602874756,0.9999208450317383,0.9998815059661865,1.0000029802322388,0.9998244643211365,0.9999778866767883,0.9997203350067139,0.9998440146446228
Privacy_Violation_Activity,0.9998998641967773,0.9999716877937317,0.9999303817749023,0.9999598264694214,0.9995971322059631,0.999906599521637,0.9997750520706177,0.9998244643211365,1.0000042915344238,0.999882698059082,0.999931812286377,0.9999304413795471
Economic_Harm,0.9999870657920837,0.999779999256134,0.9997935891151428,0.9999438524246216,0.9998616576194763,0.9999755024909973,0.9998928904533386,0.9999778866767883,0.999882698059082,1.0000032186508179,0.9998239874839783,0.9999290108680725
Physical_Harm,0.9998412728309631,0.9999118447303772,0.9999452233314514,0.9999470710754395,0.9995256066322327,0.9998803734779358,0.9997206926345825,0.9997203350067139,0.999931812286377,0.9998239874839783,1.0000020265579224,0.9999547004699707
Hate_Harass_Violence,0.9999279379844666,0.9998682141304016,0.9999385476112366,0.9999863505363464,0.9996538758277893,0.9999653100967407,0.9998003840446472,0.9998440146446228,0.9999304413795471,0.9999290108680725,0.9999547004699707,1.0000028610229492
