,Economic_Harm,harmless,Tailored_Financial_Advice,Adult_Content,Fraud_Deception,Hate_Harass_Violence,Illegal_Activity,Physical_Harm,Privacy_Violation_Activity,Malware_Viruses,Child_Abuse,Political_Campaigning
Economic_Harm,1.0001660585403442,-0.9941675662994385,0.9992465972900391,0.9490277767181396,0.9980218410491943,0.9863758683204651,0.999449610710144,0.9988630414009094,0.9949049949645996,0.9679820537567139,0.9970238208770752,0.9942551255226135
harmless,-0.9941675662994385,1.0001721382141113,-0.9946300983428955,-0.9544969797134399,-0.9960622191429138,-0.979507327079773,-0.9928023815155029,-0.9912777543067932,-0.9945477843284607,-0.9729436635971069,-0.9948002099990845,-0.9935489296913147
Tailored_Financial_Advice,0.9992465972900391,-0.9946300983428955,1.0001437664031982,0.9554985165596008,0.9987432360649109,0.9876433610916138,0.9986876249313354,0.9980278611183167,0.9964783787727356,0.9732950925827026,0.9979540109634399,0.996117353439331
Adult_Content,0.9490277767181396,-0.9544969797134399,0.9554985165596008,1.0000678300857544,0.9645022749900818,0.9749047756195068,0.9488890171051025,0.9512717723846436,0.9721437692642212,0.9916777610778809,0.9672641754150391,0.974327564239502
Fraud_Deception,0.9980218410491943,-0.9960622191429138,0.9987432360649109,0.9645022749900818,1.0001500844955444,0.9895825982093811,0.9974796175956726,0.9969326853752136,0.9989853501319885,0.9807188510894775,0.9991717338562012,0.99857497215271
Hate_Harass_Violence,0.9863758683204651,-0.979507327079773,0.9876433610916138,0.9749047756195068,0.9895825982093811,1.0000755786895752,0.9867674708366394,0.9895458221435547,0.9901913404464722,0.9803354740142822,0.9915054440498352,0.9927178025245667
Illegal_Activity,0.999449610710144,-0.9928023815155029,0.9986876249313354,0.9488890171051025,0.9974796175956726,0.9867674708366394,1.0001354217529297,0.9991130232810974,0.9947252869606018,0.967965304851532,0.9968400597572327,0.9937255382537842
Physical_Harm,0.9988630414009094,-0.9912777543067932,0.9980278611183167,0.9512717723846436,0.9969326853752136,0.9895458221435547,0.9991130232810974,1.000157356262207,0.9942886233329773,0.9681693315505981,0.9968870282173157,0.993782639503479
Privacy_Violation_Activity,0.9949049949645996,-0.9945477843284607,0.9964783787727356,0.9721437692642212,0.9989853501319885,0.9901913404464722,0.9947252869606018,0.9942886233329773,1.0001332759857178,0.9871132373809814,0.9985201954841614,0.9991003274917603
Malware_Viruses,0.9679820537567139,-0.9729436635971069,0.9732950925827026,0.9916777610778809,0.9807188510894775,0.9803354740142822,0.967965304851532,0.9681693315505981,0.9871132373809814,1.0000965595245361,0.9808639883995056,0.9872468709945679
Child_Abuse,0.9970238208770752,-0.9948002099990845,0.9979540109634399,0.9672641754150391,0.9991717338562012,0.9915054440498352,0.9968400597572327,0.9968870282173157,0.9985201954841614,0.9808639883995056,1.0001404285430908,0.9982826113700867
Political_Campaigning,0.9942551255226135,-0.9935489296913147,0.996117353439331,0.974327564239502,0.99857497215271,0.9927178025245667,0.9937255382537842,0.993782639503479,0.9991003274917603,0.9872468709945679,0.9982826113700867,1.0001310110092163
