,Adult_Content,Hate_Harass_Violence,Illegal_Activity,Economic_Harm,Tailored_Financial_Advice,Physical_Harm,Child_Abuse,Privacy_Violation_Activity,Malware_Viruses,Fraud_Deception,harmless,Political_Campaigning
Adult_Content,1.000003695487976,0.8818450570106506,0.883237361907959,0.884536862373352,0.8364520072937012,0.9060450792312622,0.8889331817626953,0.8451443314552307,0.7906634211540222,0.8766154050827026,0.5682704448699951,0.8796716332435608
Hate_Harass_Violence,0.8818450570106506,1.0000022649765015,0.8599798083305359,0.8643672466278076,0.8264108896255493,0.9130920171737671,0.8621108531951904,0.8286600112915039,0.7786104679107666,0.8568843007087708,0.561985194683075,0.9105995297431946
Illegal_Activity,0.883237361907959,0.8599798083305359,1.0000015497207642,0.9007002711296082,0.8781301975250244,0.9066524505615234,0.9132950901985168,0.9029709100723267,0.8616702556610107,0.9182814359664917,0.5867680907249451,0.9043046832084656
Economic_Harm,0.884536862373352,0.8643672466278076,0.9007002711296082,1.000002384185791,0.9222233295440674,0.8944274187088013,0.8583056330680847,0.8877611756324768,0.8533202409744263,0.962837278842926,0.5811342000961304,0.9139740467071533
Tailored_Financial_Advice,0.8364520072937012,0.8264108896255493,0.8781301975250244,0.9222233295440674,1.0000035762786865,0.8701269626617432,0.8328123092651367,0.8846164345741272,0.837020993232727,0.9097212553024292,0.5962355136871338,0.8943194150924683
Physical_Harm,0.9060450792312622,0.9130920171737671,0.9066524505615234,0.8944274187088013,0.8701269626617432,1.0000019073486328,0.8748953342437744,0.8799669742584229,0.8276264667510986,0.8949272036552429,0.5503928661346436,0.901767373085022
Child_Abuse,0.8889331817626953,0.8621108531951904,0.9132950901985168,0.8583056330680847,0.8328123092651367,0.8748953342437744,1.0000014305114746,0.8345738649368286,0.7858230471611023,0.8628701567649841,0.5752163529396057,0.8749427199363708
Privacy_Violation_Activity,0.8451443314552307,0.8286600112915039,0.9029709100723267,0.8877611756324768,0.8846164345741272,0.8799669742584229,0.8345738649368286,1.0000027418136597,0.9307515025138855,0.9141966104507446,0.5966962575912476,0.899395227432251
Malware_Viruses,0.7906634211540222,0.7786104679107666,0.8616702556610107,0.8533202409744263,0.837020993232727,0.8276264667510986,0.7858230471611023,0.9307515025138855,1.0000030994415283,0.8862729668617249,0.572184145450592,0.8510030508041382
Fraud_Deception,0.8766154050827026,0.8568843007087708,0.9182814359664917,0.962837278842926,0.9097212553024292,0.8949272036552429,0.8628701567649841,0.9141966104507446,0.8862729668617249,1.0000042915344238,0.5685009360313416,0.9159867763519287
harmless,0.5682704448699951,0.561985194683075,0.5867680907249451,0.5811342000961304,0.5962355136871338,0.5503928661346436,0.5752163529396057,0.5966962575912476,0.572184145450592,0.5685009360313416,1.0000032186508179,0.6195273995399475
Political_Campaigning,0.8796716332435608,0.9105995297431946,0.9043046832084656,0.9139740467071533,0.8943194150924683,0.901767373085022,0.8749427199363708,0.899395227432251,0.8510030508041382,0.9159867763519287,0.6195273995399475,1.0000033378601074
