,Political_Campaigning,Malware_Viruses,Privacy_Violation_Activity,Child_Abuse,Physical_Harm,Hate_Harass_Violence,Fraud_Deception,Tailored_Financial_Advice,Illegal_Activity,harmless,Economic_Harm,Adult_Content
Political_Campaigning,1.0000638961791992,-0.49899134039878845,0.999141275882721,0.9970797300338745,0.9965548515319824,0.9962416291236877,0.9981563091278076,0.998035728931427,0.9975805282592773,-0.9950336217880249,0.9971491098403931,0.9989455342292786
Malware_Viruses,-0.49899134039878845,1.0000057220458984,-0.4870486259460449,-0.5587097406387329,-0.5638401508331299,-0.5683537125587463,-0.45626288652420044,-0.5448257327079773,-0.5498443245887756,0.542396605014801,-0.557691216468811,-0.48812365531921387
Privacy_Violation_Activity,0.999141275882721,-0.4870486259460449,1.0000767707824707,0.9960339069366455,0.9955585598945618,0.9949809312820435,0.9989516139030457,0.9970503449440002,0.9971022605895996,-0.9960026144981384,0.996303379535675,0.9992668628692627
Child_Abuse,0.9970797300338745,-0.5587097406387329,0.9960339069366455,1.0000817775726318,0.9999203681945801,0.9998656511306763,0.9922506809234619,0.9996353983879089,0.9997869729995728,-0.9967711567878723,0.9998994469642639,0.9958556294441223
Physical_Harm,0.9965548515319824,-0.5638401508331299,0.9955585598945618,0.9999203681945801,1.0000816583633423,0.9999827742576599,0.9915028810501099,0.9994974732398987,0.9997755289077759,-0.997071385383606,0.999931812286377,0.9953625798225403
Hate_Harass_Violence,0.9962416291236877,-0.5683537125587463,0.9949809312820435,0.9998656511306763,0.9999827742576599,1.0000743865966797,0.9908009171485901,0.9992989301681519,0.9995973110198975,-0.9967260360717773,0.9998442530632019,0.9948513507843018
Fraud_Deception,0.9981563091278076,-0.45626288652420044,0.9989516139030457,0.9922506809234619,0.9915028810501099,0.9908009171485901,1.0000653266906738,0.9939429759979248,0.9936549663543701,-0.9927027225494385,0.992646336555481,0.9986487030982971
Tailored_Financial_Advice,0.998035728931427,-0.5448257327079773,0.9970503449440002,0.9996353983879089,0.9994974732398987,0.9992989301681519,0.9939429759979248,1.0000842809677124,0.9996345639228821,-0.9966172575950623,0.9996837377548218,0.9966901540756226
Illegal_Activity,0.9975805282592773,-0.5498443245887756,0.9971022605895996,0.9997869729995728,0.9997755289077759,0.9995973110198975,0.9936549663543701,0.9996345639228821,1.0000823736190796,-0.9980401992797852,0.9999332427978516,0.9967314004898071
harmless,-0.9950336217880249,0.542396605014801,-0.9960026144981384,-0.9967711567878723,-0.997071385383606,-0.9967260360717773,-0.9927027225494385,-0.9966172575950623,-0.9980401992797852,1.000067114830017,-0.9975101947784424,-0.995574951171875
Economic_Harm,0.9971491098403931,-0.557691216468811,0.996303379535675,0.9998994469642639,0.999931812286377,0.9998442530632019,0.992646336555481,0.9996837377548218,0.9999332427978516,-0.9975101947784424,1.000076174736023,0.995988667011261
Adult_Content,0.9989455342292786,-0.48812365531921387,0.9992668628692627,0.9958556294441223,0.9953625798225403,0.9948513507843018,0.9986487030982971,0.9966901540756226,0.9967314004898071,-0.995574951171875,0.995988667011261,1.0000747442245483
