,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.000000238418579,0.9384581446647644,0.9473327994346619,0.9577815532684326,0.9424425363540649,0.9515237808227539,0.952663004398346,0.9446470737457275,0.9271173477172852,0.8954688906669617,0.937214732170105,0.9271079897880554
Political_Campaigning,0.9384581446647644,1.000000238418579,0.9488052129745483,0.9533700942993164,0.9512298703193665,0.912806510925293,0.9508243203163147,0.9530689716339111,0.937369167804718,0.8915444612503052,0.9512679576873779,0.9350172877311707
Privacy_Violation_Activity,0.9473327994346619,0.9488052129745483,1.0000003576278687,0.9680578708648682,0.9525430798530579,0.9255448579788208,0.9532341957092285,0.9630769491195679,0.9323856830596924,0.8974537253379822,0.921353280544281,0.9721491932868958
Illegal_Activity,0.9577815532684326,0.9533700942993164,0.9680578708648682,1.0000007152557373,0.9708096385002136,0.9316866993904114,0.9662941098213196,0.9772055149078369,0.9505726099014282,0.8963000774383545,0.93008953332901,0.9615286588668823
Economic_Harm,0.9424425363540649,0.9512298703193665,0.9525430798530579,0.9708096385002136,1.0000003576278687,0.9193068146705627,0.9557111859321594,0.9808935523033142,0.9686049222946167,0.8957652449607849,0.9231246709823608,0.9507089853286743
Adult_Content,0.9515237808227539,0.912806510925293,0.9255448579788208,0.9316866993904114,0.9193068146705627,1.000000238418579,0.9374404549598694,0.9207073450088501,0.892066478729248,0.8447343707084656,0.9340294599533081,0.8953641653060913
Physical_Harm,0.952663004398346,0.9508243203163147,0.9532341957092285,0.9662941098213196,0.9557111859321594,0.9374404549598694,0.9999997019767761,0.9501464366912842,0.9330332279205322,0.8968545794487,0.9455664157867432,0.9441308379173279
Fraud_Deception,0.9446470737457275,0.9530689716339111,0.9630769491195679,0.9772055149078369,0.9808935523033142,0.9207073450088501,0.9501464366912842,1.0000007152557373,0.9546570777893066,0.8814092874526978,0.9240579605102539,0.957190990447998
Tailored_Financial_Advice,0.9271173477172852,0.937369167804718,0.9323856830596924,0.9505726099014282,0.9686049222946167,0.892066478729248,0.9330332279205322,0.9546570777893066,1.000001072883606,0.8944940567016602,0.9015091061592102,0.9226440191268921
harmless,0.8954688906669617,0.8915444612503052,0.8974537253379822,0.8963000774383545,0.8957652449607849,0.8447343707084656,0.8968545794487,0.8814092874526978,0.8944940567016602,0.9999995827674866,0.8704116344451904,0.882899820804596
Hate_Harass_Violence,0.937214732170105,0.9512679576873779,0.921353280544281,0.93008953332901,0.9231246709823608,0.9340294599533081,0.9455664157867432,0.9240579605102539,0.9015091061592102,0.8704116344451904,1.0000009536743164,0.9027609825134277
Malware_Viruses,0.9271079897880554,0.9350172877311707,0.9721491932868958,0.9615286588668823,0.9507089853286743,0.8953641653060913,0.9441308379173279,0.957190990447998,0.9226440191268921,0.882899820804596,0.9027609825134277,1.0000003576278687
