,Privacy_Violation_Activity,Physical_Harm,Child_Abuse,Fraud_Deception,Economic_Harm,Tailored_Financial_Advice,Hate_Harass_Violence,Political_Campaigning,harmless,Malware_Viruses,Illegal_Activity,Adult_Content
Privacy_Violation_Activity,1.0000003576278687,0.9195646047592163,0.8402734994888306,0.9238764643669128,0.8931350111961365,0.8766911625862122,0.8540289998054504,0.8412109613418579,-0.03767014667391777,0.9497626423835754,0.9128591418266296,0.8829737305641174
Physical_Harm,0.9195646047592163,0.9999998807907104,0.8656491041183472,0.9113219380378723,0.9022859334945679,0.8744087815284729,0.9317384958267212,0.8635225892066956,-0.07673405855894089,0.878751814365387,0.8927834033966064,0.9307470917701721
Child_Abuse,0.8402734994888306,0.8656491041183472,1.0000001192092896,0.8676929473876953,0.8731371164321899,0.8742622137069702,0.8989859223365784,0.8996098637580872,-0.01025347039103508,0.8161067366600037,0.9236652851104736,0.8999357223510742
Fraud_Deception,0.9238764643669128,0.9113219380378723,0.8676929473876953,0.9999998807907104,0.969940185546875,0.9195065498352051,0.8865790963172913,0.8903895616531372,-0.07398831844329834,0.9070420861244202,0.9232956767082214,0.9068248271942139
Economic_Harm,0.8931350111961365,0.9022859334945679,0.8731371164321899,0.969940185546875,0.9999998807907104,0.9393454194068909,0.8922895789146423,0.8948559165000916,-0.08170048147439957,0.8748390078544617,0.9175034761428833,0.9063646793365479
Tailored_Financial_Advice,0.8766911625862122,0.8744087815284729,0.8742622137069702,0.9195065498352051,0.9393454194068909,0.9999997019767761,0.8524643182754517,0.8776035904884338,-0.028410470113158226,0.8491077423095703,0.906229555606842,0.864467203617096
Hate_Harass_Violence,0.8540289998054504,0.9317384958267212,0.8989859223365784,0.8865790963172913,0.8922895789146423,0.8524643182754517,0.9999998807907104,0.9285157322883606,-0.04658695310354233,0.8230480551719666,0.8917322158813477,0.9247085452079773
Political_Campaigning,0.8412109613418579,0.8635225892066956,0.8996098637580872,0.8903895616531372,0.8948559165000916,0.8776035904884338,0.9285157322883606,1.0000001192092896,-0.0037823463790118694,0.8294215202331543,0.9131521582603455,0.8754793405532837
harmless,-0.03767014667391777,-0.07673405855894089,-0.01025347039103508,-0.07398831844329834,-0.08170048147439957,-0.028410470113158226,-0.04658695310354233,-0.0037823463790118694,0.9999997019767761,-0.02302131988108158,-0.007162605877965689,-0.07677635550498962
Malware_Viruses,0.9497626423835754,0.878751814365387,0.8161067366600037,0.9070420861244202,0.8748390078544617,0.8491077423095703,0.8230480551719666,0.8294215202331543,-0.02302131988108158,1.0000001192092896,0.8927607536315918,0.8438984751701355
Illegal_Activity,0.9128591418266296,0.8927834033966064,0.9236652851104736,0.9232956767082214,0.9175034761428833,0.906229555606842,0.8917322158813477,0.9131521582603455,-0.007162605877965689,0.8927607536315918,1.0000005960464478,0.8962058424949646
Adult_Content,0.8829737305641174,0.9307470917701721,0.8999357223510742,0.9068248271942139,0.9063646793365479,0.864467203617096,0.9247085452079773,0.8754793405532837,-0.07677635550498962,0.8438984751701355,0.8962058424949646,1.0000004768371582
