,Privacy_Violation_Activity,Physical_Harm,Child_Abuse,Fraud_Deception,Economic_Harm,Tailored_Financial_Advice,Hate_Harass_Violence,Political_Campaigning,harmless,Malware_Viruses,Illegal_Activity,Adult_Content
Privacy_Violation_Activity,1.0000473260879517,0.9981416463851929,0.9633935689926147,0.981968104839325,0.9981741905212402,0.9986943602561951,0.9951978921890259,0.9997614622116089,0.9999368190765381,0.9995027184486389,0.999687671661377,0.9978765845298767
Physical_Harm,0.9981416463851929,1.0000351667404175,0.9639674425125122,0.9801619052886963,0.9993561506271362,0.9987043142318726,0.9971194267272949,0.9984596967697144,0.9978697299957275,0.9970270395278931,0.999164342880249,0.9958748817443848
Child_Abuse,0.9633935689926147,0.9639674425125122,1.000036358833313,0.9960002899169922,0.9720274806022644,0.9740586876869202,0.980472207069397,0.968977689743042,0.9618182182312012,0.9547109007835388,0.9652925729751587,0.9782527685165405
Fraud_Deception,0.981968104839325,0.9801619052886963,0.9960002899169922,1.0000437498092651,0.9863900542259216,0.9884259104728699,0.9906214475631714,0.9855177402496338,0.9809134006500244,0.9757425785064697,0.9827669858932495,0.9917126893997192
Economic_Harm,0.9981741905212402,0.9993561506271362,0.9720274806022644,0.9863900542259216,1.000037431716919,0.9997802972793579,0.9985237121582031,0.9990026354789734,0.9977401494979858,0.996077299118042,0.9992121458053589,0.9977825284004211
Tailored_Financial_Advice,0.9986943602561951,0.9987043142318726,0.9740586876869202,0.9884259104728699,0.9997802972793579,1.0000388622283936,0.9985880851745605,0.999534010887146,0.9983271956443787,0.9966002702713013,0.9993318915367126,0.9989737272262573
Hate_Harass_Violence,0.9951978921890259,0.9971194267272949,0.980472207069397,0.9906214475631714,0.9985237121582031,0.9985880851745605,1.000035285949707,0.9971141219139099,0.9945646524429321,0.9921305179595947,0.9964525103569031,0.9978747367858887
Political_Campaigning,0.9997614622116089,0.9984596967697144,0.968977689743042,0.9855177402496338,0.9990026354789734,0.999534010887146,0.9971141219139099,1.0000450611114502,0.9995219707489014,0.998560905456543,0.9997146129608154,0.9989538192749023
harmless,0.9999368190765381,0.9978697299957275,0.9618182182312012,0.9809134006500244,0.9977401494979858,0.9983271956443787,0.9945646524429321,0.9995219707489014,1.0000479221343994,0.9995965957641602,0.9995744228363037,0.9974707365036011
Malware_Viruses,0.9995027184486389,0.9970270395278931,0.9547109007835388,0.9757425785064697,0.996077299118042,0.9966002702713013,0.9921305179595947,0.998560905456543,0.9995965957641602,1.0000481605529785,0.998688817024231,0.9956322908401489
Illegal_Activity,0.999687671661377,0.999164342880249,0.9652925729751587,0.9827669858932495,0.9992121458053589,0.9993318915367126,0.9964525103569031,0.9997146129608154,0.9995744228363037,0.998688817024231,1.000042200088501,0.9976962208747864
Adult_Content,0.9978765845298767,0.9958748817443848,0.9782527685165405,0.9917126893997192,0.9977825284004211,0.9989737272262573,0.9978747367858887,0.9989538192749023,0.9974707365036011,0.9956322908401489,0.9976962208747864,1.0000460147857666
