,Economic_Harm,harmless,Tailored_Financial_Advice,Adult_Content,Fraud_Deception,Hate_Harass_Violence,Illegal_Activity,Physical_Harm,Privacy_Violation_Activity,Malware_Viruses,Child_Abuse,Political_Campaigning
Economic_Harm,1.0000017881393433,0.9930039048194885,0.9984174966812134,0.9972188472747803,0.9993325471878052,0.9970395565032959,0.9985224604606628,0.9980290532112122,0.9978594183921814,0.9977835416793823,0.9971988797187805,0.9988182187080383
harmless,0.9930039048194885,1.000004768371582,0.9928282499313354,0.9925654530525208,0.9937582015991211,0.991719663143158,0.9938912391662598,0.9951226115226746,0.9954075813293457,0.9929727911949158,0.9934388995170593,0.993883490562439
Tailored_Financial_Advice,0.9984174966812134,0.9928282499313354,1.0000017881393433,0.9961326718330383,0.9974713325500488,0.9968712329864502,0.9979400634765625,0.9973967671394348,0.9963136911392212,0.99614018201828,0.9965240359306335,0.9979173541069031
Adult_Content,0.9972188472747803,0.9925654530525208,0.9961326718330383,1.0000014305114746,0.9972071647644043,0.9972111582756042,0.9978615045547485,0.9982258677482605,0.9967191219329834,0.9961056709289551,0.9980596899986267,0.9971234202384949
Fraud_Deception,0.9993325471878052,0.9937582015991211,0.9974713325500488,0.9972071647644043,1.0000035762786865,0.9965860247612,0.9983683228492737,0.9979639053344727,0.9985486268997192,0.9983147382736206,0.997323751449585,0.9989149570465088
Hate_Harass_Violence,0.9970395565032959,0.991719663143158,0.9968712329864502,0.9972111582756042,0.9965860247612,1.0000032186508179,0.9974536895751953,0.9980431199073792,0.9955028295516968,0.9957138299942017,0.9972827434539795,0.9978545308113098
Illegal_Activity,0.9985224604606628,0.9938912391662598,0.9979400634765625,0.9978615045547485,0.9983683228492737,0.9974536895751953,1.0000030994415283,0.9988740682601929,0.9978821873664856,0.9975037574768066,0.9980520009994507,0.9982878565788269
Physical_Harm,0.9980290532112122,0.9951226115226746,0.9973967671394348,0.9982258677482605,0.9979639053344727,0.9980431199073792,0.9988740682601929,1.0000028610229492,0.9980526566505432,0.9971444010734558,0.9982855319976807,0.9983530640602112
Privacy_Violation_Activity,0.9978594183921814,0.9954075813293457,0.9963136911392212,0.9967191219329834,0.9985486268997192,0.9955028295516968,0.9978821873664856,0.9980526566505432,1.0000028610229492,0.9982398152351379,0.997031569480896,0.9985049366950989
Malware_Viruses,0.9977835416793823,0.9929727911949158,0.99614018201828,0.9961056709289551,0.9983147382736206,0.9957138299942017,0.9975037574768066,0.9971444010734558,0.9982398152351379,1.0000026226043701,0.9960827231407166,0.997916579246521
Child_Abuse,0.9971988797187805,0.9934388995170593,0.9965240359306335,0.9980596899986267,0.997323751449585,0.9972827434539795,0.9980520009994507,0.9982855319976807,0.997031569480896,0.9960827231407166,1.000002145767212,0.9973854422569275
Political_Campaigning,0.9988182187080383,0.993883490562439,0.9979173541069031,0.9971234202384949,0.9989149570465088,0.9978545308113098,0.9982878565788269,0.9983530640602112,0.9985049366950989,0.997916579246521,0.9973854422569275,1.000001311302185
