,Hate_Harass_Violence,Malware_Viruses,Adult_Content,Tailored_Financial_Advice,harmless,Privacy_Violation_Activity,Economic_Harm,Fraud_Deception,Child_Abuse,Political_Campaigning,Physical_Harm,Illegal_Activity
Hate_Harass_Violence,1.0000003576278687,0.5063923597335815,0.6905856132507324,0.4856047034263611,0.1898326873779297,0.5456194877624512,0.5871204733848572,0.584303081035614,0.6186326742172241,0.6930011510848999,0.6589515209197998,0.6020186543464661
Malware_Viruses,0.5063923597335815,1.0000003576278687,0.5282978415489197,0.557041585445404,0.108578622341156,0.8106076717376709,0.7160606980323792,0.7648586630821228,0.5638279318809509,0.6044834852218628,0.6533340215682983,0.774849534034729
Adult_Content,0.6905856132507324,0.5282978415489197,1.0000003576278687,0.49945345520973206,0.13553467392921448,0.6279743313789368,0.6403462886810303,0.6228021383285522,0.7765229940414429,0.5734761953353882,0.6825879812240601,0.679338276386261
Tailored_Financial_Advice,0.4856047034263611,0.557041585445404,0.49945345520973206,1.0000004768371582,0.07535059005022049,0.5731496810913086,0.7940730452537537,0.726063072681427,0.5504762530326843,0.6414724588394165,0.581983208656311,0.7021812796592712
harmless,0.1898326873779297,0.108578622341156,0.13553467392921448,0.07535059005022049,1.0,0.04844536632299423,0.10341396182775497,0.05279695615172386,0.012865368276834488,0.009519984014332294,0.05213608592748642,0.0804487094283104
Privacy_Violation_Activity,0.5456194877624512,0.8106076717376709,0.6279743313789368,0.5731496810913086,0.04844536632299423,1.0000003576278687,0.6917768120765686,0.769411563873291,0.652586817741394,0.6664815545082092,0.6624549627304077,0.7801584601402283
Economic_Harm,0.5871204733848572,0.7160606980323792,0.6403462886810303,0.7940730452537537,0.10341396182775497,0.6917768120765686,1.000000238418579,0.8834615349769592,0.632124125957489,0.6984004378318787,0.7013428807258606,0.8166487812995911
Fraud_Deception,0.584303081035614,0.7648586630821228,0.6228021383285522,0.726063072681427,0.05279695615172386,0.769411563873291,0.8834615349769592,1.000000238418579,0.6601741909980774,0.7190221548080444,0.6764711141586304,0.8647427558898926
Child_Abuse,0.6186326742172241,0.5638279318809509,0.7765229940414429,0.5504762530326843,0.012865368276834488,0.652586817741394,0.632124125957489,0.6601741909980774,0.9999998807907104,0.6038914918899536,0.6718828082084656,0.7212608456611633
Political_Campaigning,0.6930011510848999,0.6044834852218628,0.5734761953353882,0.6414724588394165,0.009519984014332294,0.6664815545082092,0.6984004378318787,0.7190221548080444,0.6038914918899536,1.0000004768371582,0.6541429758071899,0.6870974898338318
Physical_Harm,0.6589515209197998,0.6533340215682983,0.6825879812240601,0.581983208656311,0.05213608592748642,0.6624549627304077,0.7013428807258606,0.6764711141586304,0.6718828082084656,0.6541429758071899,1.0000001192092896,0.7745324373245239
Illegal_Activity,0.6020186543464661,0.774849534034729,0.679338276386261,0.7021812796592712,0.0804487094283104,0.7801584601402283,0.8166487812995911,0.8647427558898926,0.7212608456611633,0.6870974898338318,0.7745324373245239,0.9999999403953552
