,Political_Campaigning,Malware_Viruses,Child_Abuse,Illegal_Activity,Tailored_Financial_Advice,Adult_Content,harmless,Fraud_Deception,Privacy_Violation_Activity,Economic_Harm,Physical_Harm,Hate_Harass_Violence
Political_Campaigning,1.0000123977661133,0.9997910261154175,0.9996698498725891,0.9996762871742249,0.9994053840637207,0.9996404647827148,0.9987247586250305,0.9998341202735901,0.9995924234390259,0.9998971223831177,0.999793291091919,0.9993174076080322
Malware_Viruses,0.9997910261154175,1.0000159740447998,0.9994566440582275,0.9995769262313843,0.9992256164550781,0.9994391798973083,0.9986997842788696,0.9997531771659851,0.9996354579925537,0.9997866153717041,0.9996305108070374,0.9989999532699585
Child_Abuse,0.9996698498725891,0.9994566440582275,1.0000120401382446,0.9997177124023438,0.9991827011108398,0.9998013973236084,0.9982236623764038,0.9995655417442322,0.9991748332977295,0.9997169971466064,0.9997554421424866,0.9993529319763184
Illegal_Activity,0.9996762871742249,0.9995769262313843,0.9997177124023438,1.0000121593475342,0.9995870590209961,0.9996994137763977,0.9979791641235352,0.9994349479675293,0.9989705085754395,0.9997878074645996,0.9997836947441101,0.9996089935302734
Tailored_Financial_Advice,0.9994053840637207,0.9992256164550781,0.9991827011108398,0.9995870590209961,1.000015139579773,0.9992142915725708,0.9977262020111084,0.998935341835022,0.9984154105186462,0.9994892477989197,0.9993244409561157,0.9995023012161255
Adult_Content,0.9996404647827148,0.9994391798973083,0.9998013973236084,0.9996994137763977,0.9992142915725708,1.0000131130218506,0.9982279539108276,0.9994744062423706,0.9991549253463745,0.9996582269668579,0.999750018119812,0.9994212985038757
harmless,0.9987247586250305,0.9986997842788696,0.9982236623764038,0.9979791641235352,0.9977262020111084,0.9982279539108276,1.0000182390213013,0.9988458156585693,0.9992344379425049,0.998479962348938,0.9984728693962097,0.9971859455108643
Fraud_Deception,0.9998341202735901,0.9997531771659851,0.9995655417442322,0.9994349479675293,0.998935341835022,0.9994744062423706,0.9988458156585693,1.0000147819519043,0.9997931718826294,0.9998114109039307,0.9996471405029297,0.9987622499465942
Privacy_Violation_Activity,0.9995924234390259,0.9996354579925537,0.9991748332977295,0.9989705085754395,0.9984154105186462,0.9991549253463745,0.9992344379425049,0.9997931718826294,1.0000172853469849,0.9994494915008545,0.9993486404418945,0.998112678527832
Economic_Harm,0.9998971223831177,0.9997866153717041,0.9997169971466064,0.9997878074645996,0.9994892477989197,0.9996582269668579,0.998479962348938,0.9998114109039307,0.9994494915008545,1.0000128746032715,0.9998302459716797,0.999367356300354
Physical_Harm,0.999793291091919,0.9996305108070374,0.9997554421424866,0.9997836947441101,0.9993244409561157,0.999750018119812,0.9984728693962097,0.9996471405029297,0.9993486404418945,0.9998302459716797,1.000013828277588,0.9994950294494629
Hate_Harass_Violence,0.9993174076080322,0.9989999532699585,0.9993529319763184,0.9996089935302734,0.9995023012161255,0.9994212985038757,0.9971859455108643,0.9987622499465942,0.998112678527832,0.999367356300354,0.9994950294494629,1.0000126361846924
