,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.0000016689300537,0.9642902612686157,0.9668050408363342,0.9759972095489502,0.9678904414176941,0.9733518958091736,0.9698224067687988,0.9685648679733276,0.961798906326294,0.9506291747093201,0.9610422253608704,0.9589095115661621
Political_Campaigning,0.9642902612686157,1.0000011920928955,0.9705988168716431,0.9741208553314209,0.9742690324783325,0.9550580382347107,0.970438539981842,0.9741854667663574,0.9695917367935181,0.9532602429389954,0.9718831181526184,0.9652851819992065
Privacy_Violation_Activity,0.9668050408363342,0.9705988168716431,1.000001072883606,0.9804369211196899,0.9728792905807495,0.9598381519317627,0.9698724746704102,0.9787337779998779,0.96370530128479,0.9542173147201538,0.9557915329933167,0.981978178024292
Illegal_Activity,0.9759972095489502,0.9741208553314209,0.9804369211196899,1.0000017881393433,0.9850032329559326,0.9657402038574219,0.9818257689476013,0.9871835708618164,0.9762508869171143,0.9579139947891235,0.9635618925094604,0.9791166186332703
Economic_Harm,0.9678904414176941,0.9742690324783325,0.9728792905807495,0.9850032329559326,1.000002145767212,0.9611029624938965,0.9743549227714539,0.9899134039878845,0.9831730127334595,0.9563004970550537,0.9620285034179688,0.9740238189697266
Adult_Content,0.9733518958091736,0.9550580382347107,0.9598381519317627,0.9657402038574219,0.9611029624938965,1.0000009536743164,0.966103732585907,0.9589743614196777,0.9480575323104858,0.9336174130439758,0.9623885750770569,0.9476828575134277
Physical_Harm,0.9698224067687988,0.970438539981842,0.9698724746704102,0.9818257689476013,0.9743549227714539,0.966103732585907,1.000000238418579,0.9713442921638489,0.9660756587982178,0.9542654752731323,0.9685268998146057,0.9681858420372009
Fraud_Deception,0.9685648679733276,0.9741854667663574,0.9787337779998779,0.9871835708618164,0.9899134039878845,0.9589743614196777,0.9713442921638489,1.0000016689300537,0.9761577844619751,0.9520376324653625,0.9598373770713806,0.9780759811401367
Tailored_Financial_Advice,0.961798906326294,0.9695917367935181,0.96370530128479,0.9762508869171143,0.9831730127334595,0.9480575323104858,0.9660756587982178,0.9761577844619751,1.0000019073486328,0.9566715359687805,0.9527709484100342,0.9613288640975952
harmless,0.9506291747093201,0.9532602429389954,0.9542173147201538,0.9579139947891235,0.9563004970550537,0.9336174130439758,0.9542654752731323,0.9520376324653625,0.9566715359687805,1.0000020265579224,0.9422634243965149,0.9495567083358765
Hate_Harass_Violence,0.9610422253608704,0.9718831181526184,0.9557915329933167,0.9635618925094604,0.9620285034179688,0.9623885750770569,0.9685268998146057,0.9598373770713806,0.9527709484100342,0.9422634243965149,1.0000016689300537,0.951308012008667
Malware_Viruses,0.9589095115661621,0.9652851819992065,0.981978178024292,0.9791166186332703,0.9740238189697266,0.9476828575134277,0.9681858420372009,0.9780759811401367,0.9613288640975952,0.9495567083358765,0.951308012008667,1.000000238418579
