,harmless,Physical_Harm,Adult_Content,Tailored_Financial_Advice,Malware_Viruses,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Child_Abuse,Hate_Harass_Violence,Fraud_Deception,Political_Campaigning
harmless,1.0000686645507812,0.9821833372116089,-0.962715744972229,0.8350952863693237,-0.9742442965507507,-0.9814620018005371,-0.7387022376060486,-0.7300381660461426,-0.9763667583465576,0.5966029167175293,-0.9775870442390442,-0.9663849472999573
Physical_Harm,0.9821833372116089,1.000065565109253,-0.935946524143219,0.880724310874939,-0.968804121017456,-0.9698656797409058,-0.6778438687324524,-0.6670447587966919,-0.9580541253089905,0.7001718282699585,-0.9701292514801025,-0.9472894072532654
Adult_Content,-0.962715744972229,-0.935946524143219,1.0000429153442383,-0.6917349696159363,0.9855784177780151,0.9909123182296753,0.8756572008132935,0.8749665021896362,0.9951775670051575,-0.41392138600349426,0.9906355738639832,0.9971320629119873
Tailored_Financial_Advice,0.8350952863693237,0.880724310874939,-0.6917349696159363,1.0000163316726685,-0.7451287508010864,-0.7543891668319702,-0.30808234214782715,-0.26820677518844604,-0.7352559566497803,0.8395373821258545,-0.7505253553390503,-0.7024312019348145
Malware_Viruses,-0.9742442965507507,-0.968804121017456,0.9855784177780151,-0.7451287508010864,1.0000526905059814,0.9974055290222168,0.8238497376441956,0.8205254077911377,0.9933120608329773,-0.5394352078437805,0.9974478483200073,0.9917309284210205
Privacy_Violation_Activity,-0.9814620018005371,-0.9698656797409058,0.9909123182296753,-0.7543891668319702,0.9974055290222168,1.0000637769699097,0.8238518238067627,0.8216759562492371,0.9974406957626343,-0.5226147174835205,0.9986867308616638,0.9953271746635437
Illegal_Activity,-0.7387022376060486,-0.6778438687324524,0.8756572008132935,-0.30808234214782715,0.8238497376441956,0.8238518238067627,1.0000078678131104,0.9710401296615601,0.8524165749549866,-0.014653980731964111,0.8273409605026245,0.863490879535675
Economic_Harm,-0.7300381660461426,-0.6670447587966919,0.8749665021896362,-0.26820677518844604,0.8205254077911377,0.8216759562492371,0.9710401296615601,1.000006914138794,0.8415631055831909,0.004859745502471924,0.8259645700454712,0.8659482598304749
Child_Abuse,-0.9763667583465576,-0.9580541253089905,0.9951775670051575,-0.7352559566497803,0.9933120608329773,0.9974406957626343,0.8524165749549866,0.8415631055831909,1.0000526905059814,-0.4789292812347412,0.996368408203125,0.9967719912528992
Hate_Harass_Violence,0.5966029167175293,0.7001718282699585,-0.41392138600349426,0.8395373821258545,-0.5394352078437805,-0.5226147174835205,-0.014653980731964111,0.004859745502471924,-0.4789292812347412,1.0000041723251343,-0.5236275792121887,-0.44963178038597107
Fraud_Deception,-0.9775870442390442,-0.9701292514801025,0.9906355738639832,-0.7505253553390503,0.9974478483200073,0.9986867308616638,0.8273409605026245,0.8259645700454712,0.996368408203125,-0.5236275792121887,1.0000584125518799,0.9961028695106506
Political_Campaigning,-0.9663849472999573,-0.9472894072532654,0.9971320629119873,-0.7024312019348145,0.9917309284210205,0.9953271746635437,0.863490879535675,0.8659482598304749,0.9967719912528992,-0.44963178038597107,0.9961028695106506,1.0000452995300293
