,Political_Campaigning,Malware_Viruses,Hate_Harass_Violence,Child_Abuse,Privacy_Violation_Activity,Adult_Content,Economic_Harm,Physical_Harm,Illegal_Activity,Tailored_Financial_Advice,Fraud_Deception,harmless
Political_Campaigning,1.00003182888031,0.9983514547348022,0.9988843202590942,0.9985454678535461,0.9987560510635376,0.9984102249145508,0.9988836050033569,0.9988628029823303,0.9989618062973022,0.9986315965652466,0.9989269375801086,0.9935010671615601
Malware_Viruses,0.9983514547348022,1.0000288486480713,0.9978740215301514,0.9981619715690613,0.9992420673370361,0.9978984594345093,0.998710036277771,0.9986132383346558,0.9990516901016235,0.9981769323348999,0.9989513158798218,0.9939097762107849
Hate_Harass_Violence,0.9988843202590942,0.9978740215301514,1.0000327825546265,0.9986823797225952,0.998396635055542,0.9988669157028198,0.9985975623130798,0.99898761510849,0.9987559914588928,0.9982886910438538,0.9985243678092957,0.9941667318344116
Child_Abuse,0.9985454678535461,0.9981619715690613,0.9986823797225952,1.0000317096710205,0.9985904693603516,0.999024510383606,0.998762845993042,0.998818039894104,0.9990861415863037,0.9984966516494751,0.998717188835144,0.9940833449363708
Privacy_Violation_Activity,0.9987560510635376,0.9992420673370361,0.998396635055542,0.9985904693603516,1.0000314712524414,0.9985442161560059,0.9988851547241211,0.9988624453544617,0.9992412328720093,0.9985496401786804,0.9991815090179443,0.9941459894180298
Adult_Content,0.9984102249145508,0.9978984594345093,0.9988669157028198,0.999024510383606,0.9985442161560059,1.0000290870666504,0.9986087083816528,0.9988416433334351,0.9987887144088745,0.9981963634490967,0.9985203742980957,0.9938476085662842
Economic_Harm,0.9988836050033569,0.998710036277771,0.9985975623130798,0.998762845993042,0.9988851547241211,0.9986087083816528,1.0000323057174683,0.9990381598472595,0.9994053840637207,0.9993477463722229,0.999566376209259,0.9941900372505188
Physical_Harm,0.9988628029823303,0.9986132383346558,0.99898761510849,0.998818039894104,0.9988624453544617,0.9988416433334351,0.9990381598472595,1.0000321865081787,0.9992378354072571,0.9986335039138794,0.9989093542098999,0.9938143491744995
Illegal_Activity,0.9989618062973022,0.9990516901016235,0.9987559914588928,0.9990861415863037,0.9992412328720093,0.9987887144088745,0.9994053840637207,0.9992378354072571,1.0000362396240234,0.9990197420120239,0.9994799494743347,0.9946140646934509
Tailored_Financial_Advice,0.9986315965652466,0.9981769323348999,0.9982886910438538,0.9984966516494751,0.9985496401786804,0.9981963634490967,0.9993477463722229,0.9986335039138794,0.9990197420120239,1.0000314712524414,0.999045729637146,0.9940688610076904
Fraud_Deception,0.9989269375801086,0.9989513158798218,0.9985243678092957,0.998717188835144,0.9991815090179443,0.9985203742980957,0.999566376209259,0.9989093542098999,0.9994799494743347,0.999045729637146,1.0000327825546265,0.993776798248291
harmless,0.9935010671615601,0.9939097762107849,0.9941667318344116,0.9940833449363708,0.9941459894180298,0.9938476085662842,0.9941900372505188,0.9938143491744995,0.9946140646934509,0.9940688610076904,0.993776798248291,1.0000395774841309
