,Hate_Harass_Violence,Adult_Content,Child_Abuse,Tailored_Financial_Advice,Economic_Harm,Privacy_Violation_Activity,Illegal_Activity,Fraud_Deception,Political_Campaigning,Physical_Harm,Malware_Viruses,harmless
Hate_Harass_Violence,1.0000064373016357,-0.6905098557472229,0.904221773147583,0.8258059620857239,0.9430252313613892,-0.6364279985427856,0.13181710243225098,-0.657978892326355,-0.23000775277614594,0.943617045879364,-0.7422492504119873,0.8415608406066895
Adult_Content,-0.6905098557472229,1.0000054836273193,-0.6155283451080322,-0.20409852266311646,-0.4680071473121643,0.9701377153396606,0.5261125564575195,0.726301372051239,0.843887448310852,-0.4848538339138031,0.973886251449585,-0.8516214489936829
Child_Abuse,0.904221773147583,-0.6155283451080322,1.000003457069397,0.7548198103904724,0.8035415410995483,-0.6382476091384888,0.02617943286895752,-0.3310975432395935,-0.2476806640625,0.7903649806976318,-0.7265802025794983,0.7259230613708496
Tailored_Financial_Advice,0.8258059620857239,-0.20409852266311646,0.7548198103904724,1.0000016689300537,0.9177734851837158,-0.12912233173847198,0.5490067601203918,-0.3616027235984802,0.30770978331565857,0.9165128469467163,-0.27126365900039673,0.5271964073181152
Economic_Harm,0.9430252313613892,-0.4680071473121643,0.8035415410995483,0.9177734851837158,1.0000030994415283,-0.38084661960601807,0.4017089307308197,-0.6230034828186035,0.04120644927024841,0.9841558933258057,-0.519500195980072,0.7078728675842285
Privacy_Violation_Activity,-0.6364279985427856,0.9701377153396606,-0.6382476091384888,-0.12912233173847198,-0.38084661960601807,1.0000033378601074,0.618959903717041,0.5762672424316406,0.8752732276916504,-0.38922634720802307,0.9808642268180847,-0.8012160062789917
Illegal_Activity,0.13181710243225098,0.5261125564575195,0.02617943286895752,0.5490067601203918,0.4017089307308197,0.618959903717041,1.000000238418579,0.02916055917739868,0.8238638639450073,0.3832750916481018,0.5023152232170105,-0.19259074330329895
Fraud_Deception,-0.657978892326355,0.726301372051239,-0.3310975432395935,-0.3616027235984802,-0.6230034828186035,0.5762672424316406,0.02916055917739868,1.0000030994415283,0.42454928159713745,-0.6392461657524109,0.6312113404273987,-0.7715221047401428
Political_Campaigning,-0.23000775277614594,0.843887448310852,-0.2476806640625,0.30770978331565857,0.04120644927024841,0.8752732276916504,0.8238638639450073,0.42454928159713745,1.0000001192092896,0.015720903873443604,0.8011912107467651,-0.5079265832901001
Physical_Harm,0.943617045879364,-0.4848538339138031,0.7903649806976318,0.9165128469467163,0.9841558933258057,-0.38922634720802307,0.3832750916481018,-0.6392461657524109,0.015720903873443604,1.0000026226043701,-0.5158467292785645,0.6959081888198853
Malware_Viruses,-0.7422492504119873,0.973886251449585,-0.7265802025794983,-0.27126365900039673,-0.519500195980072,0.9808642268180847,0.5023152232170105,0.6312113404273987,0.8011912107467651,-0.5158467292785645,1.0000088214874268,-0.8577589988708496
harmless,0.8415608406066895,-0.8516214489936829,0.7259230613708496,0.5271964073181152,0.7078728675842285,-0.8012160062789917,-0.19259074330329895,-0.7715221047401428,-0.5079265832901001,0.6959081888198853,-0.8577589988708496,1.0000245571136475
