,harmless,Physical_Harm,Adult_Content,Tailored_Financial_Advice,Malware_Viruses,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Child_Abuse,Hate_Harass_Violence,Fraud_Deception,Political_Campaigning
harmless,1.0000007152557373,0.8505155444145203,0.8143497705459595,0.8506562113761902,0.8274234533309937,0.8404152989387512,0.8657336235046387,0.862224817276001,0.8440117835998535,0.8352254629135132,0.8486142158508301,0.8551931381225586
Physical_Harm,0.8505155444145203,1.0000009536743164,0.9071587920188904,0.8899016380310059,0.8930485248565674,0.9042571783065796,0.9350276589393616,0.9203009605407715,0.9048680663108826,0.9153898358345032,0.9079777598381042,0.910670280456543
Adult_Content,0.8143497705459595,0.9071587920188904,1.0000003576278687,0.8543612360954285,0.8429309129714966,0.8795514702796936,0.8955261707305908,0.885273277759552,0.9125131368637085,0.8992865085601807,0.8787453174591064,0.8744807243347168
Tailored_Financial_Advice,0.8506562113761902,0.8899016380310059,0.8543612360954285,1.000001072883606,0.8648089170455933,0.8823478817939758,0.917656660079956,0.9435418248176575,0.8822002410888672,0.8624177575111389,0.9177454710006714,0.895499050617218
Malware_Viruses,0.8274234533309937,0.8930485248565674,0.8429309129714966,0.8648089170455933,1.0000003576278687,0.9393178224563599,0.9250636100769043,0.9053215980529785,0.869693398475647,0.8440505266189575,0.9207919239997864,0.8828777074813843
Privacy_Violation_Activity,0.8404152989387512,0.9042571783065796,0.8795514702796936,0.8823478817939758,0.9393178224563599,1.000000238418579,0.9324436783790588,0.9082037806510925,0.8903110027313232,0.8655823469161987,0.9279829859733582,0.9005304574966431
Illegal_Activity,0.8657336235046387,0.9350276589393616,0.8955261707305908,0.917656660079956,0.9250636100769043,0.9324436783790588,0.9999998211860657,0.9479124546051025,0.9242178797721863,0.8945698738098145,0.9517766237258911,0.9201542139053345
Economic_Harm,0.862224817276001,0.9203009605407715,0.885273277759552,0.9435418248176575,0.9053215980529785,0.9082037806510925,0.9479124546051025,1.0000011920928955,0.9056568145751953,0.8889196515083313,0.9615653157234192,0.915337085723877
Child_Abuse,0.8440117835998535,0.9048680663108826,0.9125131368637085,0.8822002410888672,0.869693398475647,0.8903110027313232,0.9242178797721863,0.9056568145751953,0.9999998211860657,0.890193521976471,0.9017826318740845,0.8940137028694153
Hate_Harass_Violence,0.8352254629135132,0.9153898358345032,0.8992865085601807,0.8624177575111389,0.8440505266189575,0.8655823469161987,0.8945698738098145,0.8889196515083313,0.890193521976471,1.0000008344650269,0.883837103843689,0.9143587350845337
Fraud_Deception,0.8486142158508301,0.9079777598381042,0.8787453174591064,0.9177454710006714,0.9207919239997864,0.9279829859733582,0.9517766237258911,0.9615653157234192,0.9017826318740845,0.883837103843689,1.0000014305114746,0.9172585606575012
Political_Campaigning,0.8551931381225586,0.910670280456543,0.8744807243347168,0.895499050617218,0.8828777074813843,0.9005304574966431,0.9201542139053345,0.915337085723877,0.8940137028694153,0.9143587350845337,0.9172585606575012,1.0
