,Political_Campaigning,Malware_Viruses,Privacy_Violation_Activity,Child_Abuse,Physical_Harm,Hate_Harass_Violence,Fraud_Deception,Tailored_Financial_Advice,Illegal_Activity,harmless,Economic_Harm,Adult_Content
Political_Campaigning,1.000186800956726,0.9999843239784241,1.0001357793807983,0.9999930262565613,0.9998937249183655,0.9997817277908325,1.0001294612884521,1.0000312328338623,1.0000181198120117,0.9997663497924805,0.9999560117721558,1.0001276731491089
Malware_Viruses,0.9999843239784241,1.0001896619796753,1.0000395774841309,0.9995183944702148,0.9993419051170349,0.9991115927696228,1.0000905990600586,0.99962317943573,0.9996055364608765,0.9993121027946472,0.9994401931762695,1.0000028610229492
Privacy_Violation_Activity,1.0001357793807983,1.0000395774841309,1.000170350074768,0.9999414682388306,0.9998298287391663,0.9996744990348816,1.0001380443572998,0.9999781847000122,0.9999856948852539,0.999718189239502,0.9998960494995117,1.0001174211502075
Child_Abuse,0.9999930262565613,0.9995183944702148,0.9999414682388306,1.0002009868621826,1.0001473426818848,1.000105381011963,0.9998452663421631,1.0001176595687866,1.0001463890075684,0.9999289512634277,1.0001513957977295,0.9999440312385559
Physical_Harm,0.9998937249183655,0.9993419051170349,0.9998298287391663,1.0001473426818848,1.0001920461654663,1.0001516342163086,0.9997036457061768,1.0000996589660645,1.0001310110092163,0.999965488910675,1.0001556873321533,0.9998223781585693
Hate_Harass_Violence,0.9997817277908325,0.9991115927696228,0.9996744990348816,1.000105381011963,1.0001516342163086,1.000196099281311,0.9995425343513489,1.0000224113464355,1.0000643730163574,0.9998957514762878,1.000118374824524,0.9996907711029053
Fraud_Deception,1.0001294612884521,1.0000905990600586,1.0001380443572998,0.9998452663421631,0.9997036457061768,0.9995425343513489,1.0001771450042725,0.9999009370803833,0.9998927116394043,0.9995868802070618,0.999799370765686,1.0001235008239746
Tailored_Financial_Advice,1.0000312328338623,0.99962317943573,0.9999781847000122,1.0001176595687866,1.0000996589660645,1.0000224113464355,0.9999009370803833,1.000172734260559,1.0001367330551147,0.9999822378158569,1.0001336336135864,0.9999557137489319
Illegal_Activity,1.0000181198120117,0.9996055364608765,0.9999856948852539,1.0001463890075684,1.0001310110092163,1.0000643730163574,0.9998927116394043,1.0001367330551147,1.0001857280731201,0.9999787211418152,1.0001499652862549,0.999961793422699
harmless,0.9997663497924805,0.9993121027946472,0.999718189239502,0.9999289512634277,0.999965488910675,0.9998957514762878,0.9995868802070618,0.9999822378158569,0.9999787211418152,1.0001866817474365,0.9999481439590454,0.9996933937072754
Economic_Harm,0.9999560117721558,0.9994401931762695,0.9998960494995117,1.0001513957977295,1.0001556873321533,1.000118374824524,0.999799370765686,1.0001336336135864,1.0001499652862549,0.9999481439590454,1.0001951456069946,0.9998759627342224
Adult_Content,1.0001276731491089,1.0000028610229492,1.0001174211502075,0.9999440312385559,0.9998223781585693,0.9996907711029053,1.0001235008239746,0.9999557137489319,0.999961793422699,0.9996933937072754,0.9998759627342224,1.000175952911377
