,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.0000003576278687,0.7038179636001587,0.7372592687606812,0.792763888835907,0.7177585363388062,0.8227976560592651,0.7672287225723267,0.7459625005722046,0.6407068967819214,0.1660389006137848,0.7280071973800659,0.6620584726333618
Political_Campaigning,0.7038179636001587,1.000000238418579,0.7493999004364014,0.7763089537620544,0.765674889087677,0.6719448566436768,0.7635222673416138,0.7878815531730652,0.6965643763542175,0.17600220441818237,0.7918817400932312,0.7035514712333679
Privacy_Violation_Activity,0.7372592687606812,0.7493999004364014,1.0000001192092896,0.8382341861724854,0.7628629803657532,0.712990403175354,0.7645367383956909,0.8290954828262329,0.6628228425979614,0.13198387622833252,0.6511505246162415,0.8704614639282227
Illegal_Activity,0.792763888835907,0.7763089537620544,0.8382341861724854,1.0,0.8571299314498901,0.7498443126678467,0.8360569477081299,0.8959735631942749,0.7540029883384705,0.21780358254909515,0.7045215964317322,0.8219616413116455
Economic_Harm,0.7177585363388062,0.765674889087677,0.7628629803657532,0.8571299314498901,1.0000003576278687,0.6961464881896973,0.7829852104187012,0.9137561321258545,0.8441703915596008,0.18056811392307281,0.669399619102478,0.7721546292304993
Adult_Content,0.8227976560592651,0.6719448566436768,0.712990403175354,0.7498443126678467,0.6961464881896973,0.9999998807907104,0.771969735622406,0.7059327363967896,0.5784997940063477,0.2631608843803406,0.7724654674530029,0.6082572937011719
Physical_Harm,0.7672287225723267,0.7635222673416138,0.7645367383956909,0.8360569477081299,0.7829852104187012,0.771969735622406,0.9999998807907104,0.7711939215660095,0.6676537394523621,0.2113768458366394,0.7698305249214172,0.7409610748291016
Fraud_Deception,0.7459625005722046,0.7878815531730652,0.8290954828262329,0.8959735631942749,0.9137561321258545,0.7059327363967896,0.7711939215660095,1.0000005960464478,0.7908692955970764,0.16158442199230194,0.6842247843742371,0.8118883371353149
Tailored_Financial_Advice,0.6407068967819214,0.6965643763542175,0.6628228425979614,0.7540029883384705,0.8441703915596008,0.5784997940063477,0.6676537394523621,0.7908692955970764,0.9999997615814209,0.12357202172279358,0.5665557384490967,0.639789879322052
harmless,0.1660389006137848,0.17600220441818237,0.13198387622833252,0.21780358254909515,0.18056811392307281,0.2631608843803406,0.2113768458366394,0.16158442199230194,0.12357202172279358,0.9999995827674866,0.2824396789073944,0.1566779464483261
Hate_Harass_Violence,0.7280071973800659,0.7918817400932312,0.6511505246162415,0.7045215964317322,0.669399619102478,0.7724654674530029,0.7698305249214172,0.6842247843742371,0.5665557384490967,0.2824396789073944,1.0,0.5945523977279663
Malware_Viruses,0.6620584726333618,0.7035514712333679,0.8704614639282227,0.8219616413116455,0.7721546292304993,0.6082572937011719,0.7409610748291016,0.8118883371353149,0.639789879322052,0.1566779464483261,0.5945523977279663,1.0000007152557373
