,Child_Abuse,Political_Campaigning,Privacy_Violation_Activity,Illegal_Activity,Economic_Harm,Adult_Content,Physical_Harm,Fraud_Deception,Tailored_Financial_Advice,harmless,Hate_Harass_Violence,Malware_Viruses
Child_Abuse,1.0,-0.09805430471897125,-0.0977352038025856,0.19243237376213074,0.24692794680595398,-0.16143013536930084,0.508761465549469,0.2860739827156067,0.22909647226333618,0.1945894956588745,0.851468026638031,-0.163823664188385
Political_Campaigning,-0.09805430471897125,1.0000150203704834,0.9976047277450562,-0.972823977470398,-0.9620606899261475,0.9874367713928223,-0.9008278846740723,0.19046318531036377,-0.9520615339279175,-0.9724936485290527,-0.163835808634758,0.9871735572814941
Privacy_Violation_Activity,-0.0977352038025856,0.9976047277450562,1.000014066696167,-0.9715403914451599,-0.9593645334243774,0.9847491383552551,-0.9021710157394409,0.20870280265808105,-0.9512765407562256,-0.9716916084289551,-0.17471495270729065,0.9848229289054871
Illegal_Activity,0.19243237376213074,-0.972823977470398,-0.9715403914451599,1.000031590461731,0.9946918487548828,-0.9930312633514404,0.9255000352859497,-0.013377979397773743,0.9948349595069885,0.9895218014717102,0.16717973351478577,-0.993392825126648
Economic_Harm,0.24692794680595398,-0.9620606899261475,-0.9593645334243774,0.9946918487548828,1.0000298023223877,-0.9906619191169739,0.9360339641571045,0.03292601555585861,0.9955332279205322,0.9896433353424072,0.1879240721464157,-0.9911700487136841
Adult_Content,-0.16143013536930084,0.9874367713928223,0.9847491383552551,-0.9930312633514404,-0.9906619191169739,1.000033974647522,-0.9194962978363037,0.050742968916893005,-0.9835883378982544,-0.9900751113891602,-0.15134687721729279,0.9996718168258667
Physical_Harm,0.508761465549469,-0.9008278846740723,-0.9021710157394409,0.9255000352859497,0.9360339641571045,-0.9194962978363037,1.0000200271606445,-0.0338350273668766,0.9235984683036804,0.9210901260375977,0.5146405696868896,-0.9199169874191284
Fraud_Deception,0.2860739827156067,0.19046318531036377,0.20870280265808105,-0.013377979397773743,0.03292601555585861,0.050742968916893005,-0.0338350273668766,1.0000009536743164,0.04153522476553917,-0.05634259060025215,-0.17585358023643494,0.05265050381422043
Tailored_Financial_Advice,0.22909647226333618,-0.9520615339279175,-0.9512765407562256,0.9948349595069885,0.9955332279205322,-0.9835883378982544,0.9235984683036804,0.04153522476553917,1.00001859664917,0.9857327938079834,0.16758236289024353,-0.9842990636825562
harmless,0.1945894956588745,-0.9724936485290527,-0.9716916084289551,0.9895218014717102,0.9896433353424072,-0.9900751113891602,0.9210901260375977,-0.05634259060025215,0.9857327938079834,1.0000447034835815,0.16609910130500793,-0.9908604621887207
Hate_Harass_Violence,0.851468026638031,-0.163835808634758,-0.17471495270729065,0.16717973351478577,0.1879240721464157,-0.15134687721729279,0.5146405696868896,-0.17585358023643494,0.16758236289024353,0.16609910130500793,1.0000014305114746,-0.15231472253799438
Malware_Viruses,-0.163823664188385,0.9871735572814941,0.9848229289054871,-0.993392825126648,-0.9911700487136841,0.9996718168258667,-0.9199169874191284,0.05265050381422043,-0.9842990636825562,-0.9908604621887207,-0.15231472253799438,1.0000330209732056
