,Political_Campaigning,Malware_Viruses,Hate_Harass_Violence,Child_Abuse,Privacy_Violation_Activity,Adult_Content,Economic_Harm,Physical_Harm,Illegal_Activity,Tailored_Financial_Advice,Fraud_Deception,harmless
Political_Campaigning,1.0000066757202148,0.9999573230743408,0.9999940395355225,0.9999867677688599,0.9999921321868896,0.9999851584434509,0.9999957084655762,0.9999774694442749,0.9999909400939941,0.9999886751174927,0.9999939203262329,0.9999061822891235
Malware_Viruses,0.9999573230743408,1.0000066757202148,0.9999643564224243,0.999976634979248,0.999990701675415,0.9999586343765259,0.9999465346336365,0.9999862909317017,0.9999628067016602,0.9999293088912964,0.9999324083328247,0.9998763799667358
Hate_Harass_Violence,0.9999940395355225,0.9999643564224243,1.000007152557373,0.9999964237213135,0.9999921321868896,0.999992847442627,0.9999914765357971,0.9999868869781494,0.9999908208847046,0.9999538660049438,0.9999758005142212,0.9998818635940552
Child_Abuse,0.9999867677688599,0.999976634979248,0.9999964237213135,1.0000057220458984,0.9999940395355225,0.9999792575836182,0.9999791383743286,0.9999921321868896,0.9999911785125732,0.9999440908432007,0.9999655485153198,0.9998651146888733
Privacy_Violation_Activity,0.9999921321868896,0.999990701675415,0.9999921321868896,0.9999940395355225,1.000006914138794,0.9999786615371704,0.9999762177467346,0.9999977350234985,0.9999814629554749,0.999962329864502,0.9999659061431885,0.9998940229415894
Adult_Content,0.9999851584434509,0.9999586343765259,0.999992847442627,0.9999792575836182,0.9999786615371704,1.0000077486038208,0.9999980926513672,0.9999617338180542,0.9999936819076538,0.999961256980896,0.999987006187439,0.9999048113822937
Economic_Harm,0.9999957084655762,0.9999465346336365,0.9999914765357971,0.9999791383743286,0.9999762177467346,0.9999980926513672,1.0000066757202148,0.9999562501907349,0.9999996423721313,0.99997878074646,1.0000011920928955,0.9999096989631653
Physical_Harm,0.9999774694442749,0.9999862909317017,0.9999868869781494,0.9999921321868896,0.9999977350234985,0.9999617338180542,0.9999562501907349,1.0000061988830566,0.9999672770500183,0.9999412298202515,0.9999402761459351,0.9998666048049927
Illegal_Activity,0.9999909400939941,0.9999628067016602,0.9999908208847046,0.9999911785125732,0.9999814629554749,0.9999936819076538,0.9999996423721313,0.9999672770500183,1.0000077486038208,0.9999674558639526,0.9999943971633911,0.9998986124992371
Tailored_Financial_Advice,0.9999886751174927,0.9999293088912964,0.9999538660049438,0.9999440908432007,0.999962329864502,0.999961256980896,0.99997878074646,0.9999412298202515,0.9999674558639526,1.000008225440979,0.9999894499778748,0.9999289512634277
Fraud_Deception,0.9999939203262329,0.9999324083328247,0.9999758005142212,0.9999655485153198,0.9999659061431885,0.999987006187439,1.0000011920928955,0.9999402761459351,0.9999943971633911,0.9999894499778748,1.000006079673767,0.9999151229858398
harmless,0.9999061822891235,0.9998763799667358,0.9998818635940552,0.9998651146888733,0.9998940229415894,0.9999048113822937,0.9999096989631653,0.9998666048049927,0.9998986124992371,0.9999289512634277,0.9999151229858398,1.0000076293945312
