,Adult_Content,Hate_Harass_Violence,Illegal_Activity,Economic_Harm,Tailored_Financial_Advice,Physical_Harm,Child_Abuse,Privacy_Violation_Activity,Malware_Viruses,Fraud_Deception,harmless,Political_Campaigning
Adult_Content,1.000090479850769,0.9997990131378174,0.9999988079071045,1.0000126361846924,0.9998741149902344,0.998561441898346,1.0000156164169312,0.9999193549156189,0.999829113483429,0.9998044967651367,0.9996829032897949,1.0000224113464355
Hate_Harass_Violence,0.9997990131378174,1.0000848770141602,0.9998209476470947,0.9998129606246948,0.9997909069061279,0.9994782209396362,0.9996070861816406,0.9993191361427307,0.9991375207901001,0.9990392327308655,0.9996464848518372,0.9996013641357422
Illegal_Activity,0.9999988079071045,0.9998209476470947,1.0000914335250854,1.0000096559524536,0.9999192357063293,0.9987846612930298,0.9999958276748657,0.9998233914375305,0.9997483491897583,0.9996721744537354,0.9996936917304993,0.9999434351921082
Economic_Harm,1.0000126361846924,0.9998129606246948,1.0000096559524536,1.0000877380371094,0.9999948740005493,0.9987746477127075,0.9999502301216125,0.9998679757118225,0.9997810125350952,0.9997464418411255,0.9996521472930908,1.0000001192092896
Tailored_Financial_Advice,0.9998741149902344,0.9997909069061279,0.9999192357063293,0.9999948740005493,1.0000879764556885,0.9990695714950562,0.9997674226760864,0.9996732473373413,0.9995831251144409,0.999483048915863,0.9995737671852112,0.9998487830162048
Physical_Harm,0.998561441898346,0.9994782209396362,0.9987846612930298,0.9987746477127075,0.9990695714950562,1.0000842809677124,0.9981700778007507,0.9976959228515625,0.9974648952484131,0.997168779373169,0.9986692667007446,0.9981816411018372
Child_Abuse,1.0000156164169312,0.9996070861816406,0.9999958276748657,0.9999502301216125,0.9997674226760864,0.9981700778007507,1.0000877380371094,1.0000026226043701,0.9999336004257202,0.9999073147773743,0.9996131658554077,1.0000277757644653
Privacy_Violation_Activity,0.9999193549156189,0.9993191361427307,0.9998233914375305,0.9998679757118225,0.9996732473373413,0.9976959228515625,1.0000026226043701,1.000084400177002,1.0000420808792114,1.0000159740447998,0.9994555711746216,1.0000221729278564
Malware_Viruses,0.999829113483429,0.9991375207901001,0.9997483491897583,0.9997810125350952,0.9995831251144409,0.9974648952484131,0.9999336004257202,1.0000420808792114,1.0000900030136108,1.0000064373016357,0.9993759393692017,0.9999434351921082
Fraud_Deception,0.9998044967651367,0.9990392327308655,0.9996721744537354,0.9997464418411255,0.999483048915863,0.997168779373169,0.9999073147773743,1.0000159740447998,1.0000064373016357,1.000087857246399,0.9992136359214783,0.9999634027481079
harmless,0.9996829032897949,0.9996464848518372,0.9996936917304993,0.9996521472930908,0.9995737671852112,0.9986692667007446,0.9996131658554077,0.9994555711746216,0.9993759393692017,0.9992136359214783,1.0000842809677124,0.9995601177215576
Political_Campaigning,1.0000224113464355,0.9996013641357422,0.9999434351921082,1.0000001192092896,0.9998487830162048,0.9981816411018372,1.0000277757644653,1.0000221729278564,0.9999434351921082,0.9999634027481079,0.9995601177215576,1.000089406967163
