,Hate_Harass_Violence,Adult_Content,Child_Abuse,Tailored_Financial_Advice,Economic_Harm,Privacy_Violation_Activity,Illegal_Activity,Fraud_Deception,Political_Campaigning,Physical_Harm,Malware_Viruses,harmless
Hate_Harass_Violence,1.0000004768371582,0.9125809669494629,0.868523895740509,0.8559059500694275,0.8911977410316467,0.8721950054168701,0.8903693556785583,0.8778663277626038,0.9061866998672485,0.9522807002067566,0.8324340581893921,-0.06733622401952744
Adult_Content,0.9125809669494629,1.0000003576278687,0.9116861820220947,0.8765665292739868,0.8963969945907593,0.8797755241394043,0.9206684231758118,0.8835212588310242,0.8876110911369324,0.9191220998764038,0.8567581176757812,-0.0727580189704895
Child_Abuse,0.868523895740509,0.9116861820220947,1.0000004768371582,0.8726133108139038,0.870995283126831,0.8175484538078308,0.9258888959884644,0.8466290831565857,0.9099808931350708,0.8543151617050171,0.8399152755737305,-0.07152804732322693
Tailored_Financial_Advice,0.8559059500694275,0.8765665292739868,0.8726133108139038,1.000000238418579,0.9412194490432739,0.8765023946762085,0.9110110998153687,0.9138262271881104,0.8883783221244812,0.8720270991325378,0.8551613092422485,-0.07099831849336624
Economic_Harm,0.8911977410316467,0.8963969945907593,0.870995283126831,0.9412194490432739,1.0000001192092896,0.894852876663208,0.9213467240333557,0.9633126854896545,0.9049831628799438,0.8837383389472961,0.8793699741363525,-0.09124185889959335
Privacy_Violation_Activity,0.8721950054168701,0.8797755241394043,0.8175484538078308,0.8765023946762085,0.894852876663208,1.0000008344650269,0.9133086204528809,0.9350796341896057,0.8431404232978821,0.9135087728500366,0.9340869188308716,-0.07258378714323044
Illegal_Activity,0.8903693556785583,0.9206684231758118,0.9258888959884644,0.9110110998153687,0.9213467240333557,0.9133086204528809,1.000000238418579,0.9204659461975098,0.9183669090270996,0.9025428295135498,0.9113951921463013,-0.08013172447681427
Fraud_Deception,0.8778663277626038,0.8835212588310242,0.8466290831565857,0.9138262271881104,0.9633126854896545,0.9350796341896057,0.9204659461975098,1.0000003576278687,0.8821429014205933,0.8850741386413574,0.9095518589019775,-0.07297985255718231
Political_Campaigning,0.9061866998672485,0.8876110911369324,0.9099808931350708,0.8883783221244812,0.9049831628799438,0.8431404232978821,0.9183669090270996,0.8821429014205933,0.9999998211860657,0.8653581738471985,0.8587949275970459,-0.06309130787849426
Physical_Harm,0.9522807002067566,0.9191220998764038,0.8543151617050171,0.8720270991325378,0.8837383389472961,0.9135087728500366,0.9025428295135498,0.8850741386413574,0.8653581738471985,0.9999995231628418,0.8619537353515625,-0.06644190102815628
Malware_Viruses,0.8324340581893921,0.8567581176757812,0.8399152755737305,0.8551613092422485,0.8793699741363525,0.9340869188308716,0.9113951921463013,0.9095518589019775,0.8587949275970459,0.8619537353515625,0.9999997615814209,-0.04834766685962677
harmless,-0.06733622401952744,-0.0727580189704895,-0.07152804732322693,-0.07099831849336624,-0.09124185889959335,-0.07258378714323044,-0.08013172447681427,-0.07297985255718231,-0.06309130787849426,-0.06644190102815628,-0.04834766685962677,1.0000009536743164
